,pclass,sex,age,sibsp,parch,fare,cabin,embarked,title
1118,3,male,25.0,0,0,7.925,,S,Mr
44,1,female,41.0,0,0,134.5,E40,C,Miss
1072,3,male,,0,0,7.7333,,Q,Mr
1130,3,female,18.0,0,0,7.775,,S,Miss
574,2,male,29.0,1,0,21.0,,S,Mr
1217,3,male,19.0,0,0,7.65,F,S,Mr
500,2,male,46.0,0,0,26.0,,S,Mr
958,3,female,,0,4,25.4667,,S,Mrs
269,1,male,,0,0,26.0,A19,S,Mr
322,1,female,36.0,0,0,135.6333,C32,C,Miss
703,3,male,21.0,0,0,7.75,,Q,Mr
668,3,male,22.0,0,0,8.05,,S,Mr
1221,3,male,,0,0,7.8958,,S,Mr
333,2,female,36.0,0,0,13.0,D,S,Mrs
465,2,female,23.0,0,0,13.7917,D,C,Mrs
195,1,female,16.0,0,0,86.5,B79,S,Miss
955,3,female,,3,1,25.4667,,S,Miss
1265,3,female,10.0,0,2,24.15,,S,Miss
70,1,male,,0,0,0.0,,S,Mr
682,3,female,,0,2,7.75,,Q,Miss
10,1,male,47.0,1,0,227.525,C62,C,Other
828,3,female,10.0,5,2,46.9,,S,Miss
1008,3,female,35.0,0,0,7.75,,Q,Miss
893,3,male,29.0,0,0,7.8542,,S,Mr
1259,3,male,36.0,0,0,7.8958,,S,Mr
1148,3,male,35.0,0,0,7.125,,S,Mr
479,2,female,3.0,1,2,41.5792,,C,Miss
64,1,male,27.0,1,0,53.1,E8,S,Mr
862,3,female,22.0,0,0,8.9625,,S,Miss
1164,3,male,,0,0,7.2292,,C,Mr
536,2,female,32.0,0,0,13.0,,S,Mrs
987,3,female,,0,0,7.8792,,Q,Miss
440,2,female,48.0,1,2,65.0,,S,Mrs
1073,3,male,,0,0,7.75,,Q,Mr
1247,3,female,,1,0,16.1,,S,Mrs
1102,3,male,7.0,4,1,39.6875,,S,Master
799,3,male,18.0,0,0,7.7958,,S,Mr
1252,3,male,44.0,0,0,8.05,,S,Mr
530,2,male,19.0,0,0,10.5,,S,Mr
726,3,female,30.0,0,0,7.6292,,Q,Miss
1241,3,male,,1,0,6.4375,,C,Mr
722,3,male,24.0,0,0,7.4958,,S,Mr
1257,3,female,9.0,1,1,15.2458,,C,Miss
688,3,male,29.0,1,0,7.0458,,S,Mr
308,1,female,55.0,0,0,135.6333,C32,C,Mrs
1298,3,male,36.0,0,0,9.5,,S,Mr
1013,3,female,,0,0,8.05,,S,Miss
990,3,male,29.0,0,0,7.925,,S,Mr
131,1,female,45.0,0,1,59.4,,C,Mrs
15,1,male,,0,0,25.925,,S,Mr
1115,3,male,,0,0,7.775,,S,Mr
432,2,male,62.0,0,0,10.5,,S,Mr
789,3,male,,0,0,7.225,,C,Mr
575,2,female,27.0,1,0,21.0,,S,Mrs
1092,3,male,20.0,0,0,8.6625,,S,Mr
187,1,female,16.0,0,1,39.4,D28,S,Miss
191,1,male,30.0,0,0,45.5,,S,Mr
103,1,female,38.0,0,0,227.525,C45,C,Miss
970,3,male,20.0,1,0,7.925,,S,Mr
60,1,male,36.0,1,0,78.85,C46,S,Mr
692,3,female,18.5,0,0,7.2833,,Q,Miss
364,2,male,19.0,0,0,13.0,,S,Mr
494,2,female,24.0,1,1,37.0042,,C,Mrs
708,3,male,24.0,0,0,7.8542,,S,Mr
646,3,female,38.0,1,5,31.3875,,S,Mrs
1278,3,male,20.0,0,0,7.8542,,S,Mr
747,3,male,0.3333,0,2,14.4,,S,Master
565,2,male,25.0,0,0,13.0,,S,Mr
82,1,female,36.0,0,2,71.0,B22,S,Miss
567,2,male,25.0,0,0,10.5,,S,Mr
863,3,male,28.0,0,0,7.8958,,S,Mr
818,3,female,16.0,0,0,7.7333,,Q,Miss
399,2,male,42.0,1,1,32.5,,S,Mr
923,3,female,,0,0,7.75,,Q,Miss
